,Unnamed: 0,MATNR,TYPE,VKORG,WAERS,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,RGITV,EXPRT
0,0,4549,28,1001.0,3,31.14,2,101,201909,10,31002000.0,-1.4,-3.3
1,1,4550,28,1001.0,3,31.14,16,101,201909,10,36000.0,-1.4,-3.3
2,2,64,28,1001.0,3,30.73,1,30,201910,0,15000.0,-2.5,-1.3
3,3,65,28,1001.0,3,30.73,1,30,201910,0,12000.0,-2.5,-1.3
4,4,66,28,1001.0,3,30.73,1,30,201910,0,6000.0,-2.5,-1.3
5,5,67,28,1001.0,3,30.73,1,30,201910,0,27000.0,-2.5,-1.3
6,6,78,28,1001.0,3,30.73,1,30,201910,0,144000.0,-2.5,-1.3
7,7,79,28,1001.0,3,30.73,1,30,201910,0,201600.0,-2.5,-1.3
8,8,84,20,1001.0,3,30.73,1,60,201910,0,6707.0,-2.5,-1.3
9,9,86,18,1001.0,3,30.73,1,60,201910,0,5600.0,-2.5,-1.3
10,10,86,20,1001.0,3,30.73,1,60,201910,0,4557.0,-2.5,-1.3
11,11,87,20,1001.0,3,30.73,1,60,201910,0,308.0,-2.5,-1.3
12,12,94,28,1001.0,3,30.73,1,30,201910,0,36000.0,-2.5,-1.3
13,13,95,28,1001.0,3,30.73,1,30,201910,0,36000.0,-2.5,-1.3
14,14,101,28,1001.0,3,30.73,1,30,201910,0,14400.0,-2.5,-1.3
15,15,117,28,1001.0,3,30.73,1,30,201910,0,108000.0,-2.5,-1.3
16,16,118,28,1001.0,3,30.73,1,30,201910,0,356400.0,-2.5,-1.3
17,17,119,28,1001.0,3,30.73,1,30,201910,0,79200.0,-2.5,-1.3
18,18,120,28,1001.0,3,30.73,1,30,201910,0,198000.0,-2.5,-1.3
19,19,126,28,1001.0,3,30.73,1,30,201910,0,108000.0,-2.5,-1.3
20,20,127,28,1001.0,3,30.73,1,30,201910,0,90000.0,-2.5,-1.3
21,21,130,28,1001.0,3,30.73,1,30,201910,0,270000.0,-2.5,-1.3
22,22,131,28,1001.0,3,30.73,1,30,201910,0,63000.0,-2.5,-1.3
23,23,133,28,1001.0,3,30.73,1,30,201910,0,72000.0,-2.5,-1.3
24,24,134,28,1001.0,3,30.73,1,30,201910,0,36000.0,-2.5,-1.3
25,25,136,28,1001.0,3,30.73,1,30,201910,0,36000.0,-2.5,-1.3
26,26,146,28,1001.0,3,30.73,1,30,201910,0,4500.0,-2.5,-1.3
27,27,155,26,1001.0,3,30.73,1,60,201910,0,12500.0,-2.5,-1.3
28,28,156,26,1001.0,3,30.73,1,60,201910,0,1000.0,-2.5,-1.3
29,29,157,26,1001.0,3,30.73,1,60,201910,0,8050.0,-2.5,-1.3
30,30,158,26,1001.0,3,30.73,1,60,201910,0,1100.0,-2.5,-1.3
31,31,164,26,1001.0,2,1.0,1,67,201910,0,11000.0,-2.5,-1.3
32,32,165,28,1001.0,3,30.73,0,102,201910,12,4000.0,-2.5,-1.3
33,33,172,26,1001.0,2,1.0,1,67,201910,0,21000.0,-2.5,-1.3
34,34,173,26,1001.0,2,1.0,1,67,201910,0,16000.0,-2.5,-1.3
35,35,176,26,1001.0,3,30.73,1,60,201910,0,4000.0,-2.5,-1.3
36,36,177,20,1001.0,3,30.73,1,60,201910,0,8400.0,-2.5,-1.3
37,37,178,20,1001.0,3,30.73,0,60,201910,10,2150.0,-2.5,-1.3
38,38,182,20,1001.0,3,30.73,1,60,201910,0,900.0,-2.5,-1.3
39,39,185,18,1001.0,3,30.73,1,60,201910,0,4200.0,-2.5,-1.3
40,40,185,20,1001.0,3,30.73,1,60,201910,0,2100.0,-2.5,-1.3
41,41,186,18,1001.0,3,30.73,1,60,201910,0,67200.0,-2.5,-1.3
42,42,186,20,1001.0,3,30.73,1,60,201910,0,48300.0,-2.5,-1.3
43,43,195,20,1001.0,3,30.73,1,60,201910,0,2000.0,-2.5,-1.3
44,44,195,26,1001.0,3,30.73,1,60,201910,0,512.0,-2.5,-1.3
45,45,200,20,1001.0,3,30.73,1,60,201910,0,1500.0,-2.5,-1.3
46,46,204,26,1001.0,2,1.0,1,77,201910,0,110000.0,-2.5,-1.3
47,47,205,18,1001.0,3,30.73,1,60,201910,0,28800.0,-2.5,-1.3
48,48,205,20,1001.0,3,30.73,1,60,201910,0,12600.0,-2.5,-1.3
49,49,208,20,1001.0,3,30.73,1,60,201910,0,10520.0,-2.5,-1.3
50,50,209,20,1001.0,3,30.73,1,60,201910,0,3000.0,-2.5,-1.3
51,51,210,26,1001.0,3,30.73,1,60,201910,0,314.0,-2.5,-1.3
52,52,212,20,1001.0,3,30.73,1,60,201910,0,5908.0,-2.5,-1.3
53,53,214,26,1001.0,3,30.73,1,60,201910,0,162.0,-2.5,-1.3
54,54,215,26,1001.0,3,30.73,1,60,201910,0,425.0,-2.5,-1.3
55,55,216,20,1001.0,3,30.73,1,60,201910,0,6000.0,-2.5,-1.3
56,56,217,26,1001.0,3,30.73,1,60,201910,0,14000.0,-2.5,-1.3
57,57,218,20,1001.0,3,30.73,1,60,201910,0,54000.0,-2.5,-1.3
58,58,219,20,1001.0,3,30.73,1,60,201910,0,20000.0,-2.5,-1.3
59,59,220,20,1001.0,3,30.73,1,60,201910,0,30000.0,-2.5,-1.3
60,60,221,20,1001.0,3,30.73,1,60,201910,0,28000.0,-2.5,-1.3
61,61,227,20,1001.0,3,30.73,1,60,201910,0,3518.0,-2.5,-1.3
62,62,228,20,1001.0,3,30.73,1,60,201910,0,1000.0,-2.5,-1.3
63,63,230,20,1001.0,3,30.73,1,60,201910,0,31000.0,-2.5,-1.3
64,64,231,20,1001.0,3,30.73,1,60,201910,0,5000.0,-2.5,-1.3
65,65,232,20,1001.0,3,30.73,1,60,201910,0,23000.0,-2.5,-1.3
66,66,233,20,1001.0,3,30.73,1,60,201910,0,1500.0,-2.5,-1.3
67,67,235,20,1001.0,3,30.73,1,60,201910,0,1600.0,-2.5,-1.3
68,68,236,26,1001.0,3,30.73,1,60,201910,0,34000.0,-2.5,-1.3
69,69,237,20,1001.0,3,30.73,1,60,201910,0,86400.0,-2.5,-1.3
70,70,238,20,1001.0,3,30.73,1,60,201910,0,7600.0,-2.5,-1.3
71,71,239,20,1001.0,3,30.73,1,60,201910,0,40000.0,-2.5,-1.3
72,72,240,20,1001.0,3,30.73,1,60,201910,0,4400.0,-2.5,-1.3
73,73,250,18,1001.0,3,30.73,1,60,201910,0,10500.0,-2.5,-1.3
74,74,250,20,1001.0,3,30.73,1,60,201910,0,26495.0,-2.5,-1.3
75,75,252,26,1001.0,3,30.73,1,60,201910,0,675.0,-2.5,-1.3
76,76,253,20,1001.0,3,30.73,1,60,201910,0,144.0,-2.5,-1.3
77,77,253,26,1001.0,3,30.73,1,60,201910,0,520.0,-2.5,-1.3
78,78,256,20,1001.0,3,30.73,0,60,201910,10,300.0,-2.5,-1.3
