VBELN,WAERS,VKORG,KUNNR,CTLPC,LFART,AMTBL
500000000,USD,1003,100182,R01,ZLF,0
500000001,USD,1003,100179,R01,ZLF,0
500000002,TWD,1006,100310,R01,ZLF,0
500000003,TWD,1006,100310,R01,ZLF,0
500000004,USD,1005,100022,R01,ZLF,"418,297"
500000005,USD,1005,100020,R01,ZLF,"185,967"
500000006,USD,1001,100171,R01,ZLF,0
500000007,USD,1005,100023,R01,ZLF,"102,000"
500000008,USD,1002,100200,R01,ZLF,0
500000009,USD,1001,100119,R01,ZLF,0
500000010,USD,1001,100118,R01,ZLF,0
500000011,USD,1002,100200,R01,ZLF,0
500000012,USD,1002,100201,R01,ZLF,0
500000013,USD,1001,100118,R01,ZLF,0
500000014,USD,1003,100180,R01,ZLF,0
500000015,TWD,1001,100137,R01,ZLF,0
500000016,USD,1001,100118,R01,ZLF,0
500000017,USD,1001,100170,R01,ZLF,0
500000018,TWD,1001,100137,R01,ZLF,0
500000019,USD,1001,100034,R01,ZLF,0
500000020,USD,1002,2902,R99,ZLF,0
500000021,USD,1002,2902,R99,ZLF,0
500000022,USD,1005,100019,R01,ZLF,0
500000023,TWD,1003,100188,R01,ZLF,0
500000025,USD,1003,100178,R01,ZLF,0
500000026,USD,1004,100280,R01,ZLF,0
500000027,USD,1005,100019,R01,ZLF,0
500000028,TWD,1005,100018,R01,ZLF,"144,995"
500000029,TWD,1005,100013,R01,ZLF,0
500000030,TWD,1005,100013,R01,ZLF,0
500000031,TWD,1005,100013,R01,ZLF,0
500000032,TWD,1005,100013,R01,ZLF,0
500000033,TWD,1005,100018,R01,ZLF,0
500000035,TWD,1005,100014,R01,ZLF,0
500000036,TWD,1005,100015,R01,ZLF,0
500000037,TWD,1005,100014,R01,ZLF,0
500000038,TWD,1005,100014,R01,ZLF,0
500000039,TWD,1005,100003,R01,ZLF,0
500000040,TWD,1005,100004,R01,ZLF,0
500000041,USD,1001,100118,R01,ZLF,0
500000042,TWD,1005,100015,R01,ZLF,0
500000043,TWD,1005,100014,R01,ZLF,0
500000044,USD,1002,2902,R99,ZLF,0
500000045,USD,1001,100118,R01,ZLF,0
500000046,USD,2002,100208,R01,ZLF,0
500000047,USD,2002,100208,R01,ZLF,0
500000048,USD,1005,100020,R01,ZLF,0
500000049,USD,1007,100036,R01,ZLF,0
500000050,USD,1007,100036,R01,ZLF,0
500000051,USD,1007,100036,R01,ZLF,0
500000052,USD,1005,100020,R01,ZLF,"2,214,221"
500000053,USD,1005,100020,R01,ZLF,0
500000054,USD,1002,2002,,ZNLC,0
500000055,USD,1004,100289,R01,ZLF,"9,198"
500000056,USD,1003,100179,R01,ZLF,0
500000057,USD,2002,1002,,ZNLC,0
500000059,TWD,1005,100018,R01,ZLF,0
500000060,TWD,1001,100133,R01,ZLF,"69,747"
500000061,USD,2002,1002,,ZNLC,0
500000062,USD,1002,2902,R99,ZLF,0
500000063,TWD,1001,100133,R01,ZLF,"45,479"
500000064,TWD,1005,100011,R01,ZLF,0
