WAERS	ERDAT	UKURS
USD	201909	 31.14 
USD	201910	 30.73 
USD	201911	 30.48 
USD	201912	 30.33 
USD	202001	 30.05 
USD	202002	 30.19 
USD	202003	 30.21 
USD	202004	 30.09 
USD	202005	 29.96 
USD	202006	 29.75 
USD	202007	 29.56 
USD	202008	 29.52 
USD	202009	 29.36 
USD	202010	 28.93 
USD	202011	 28.84 
USD	202012	 28.54 
USD	202101	 28.43 
USD	202102	 28.35 
USD	202103	 28.39 
USD	202104	 28.26 
USD	202105	 27.92 
USD	202106	 27.80 
USD	202107	 28.00 
USD	202108	 27.88 
USD	202109	 27.74 
USD	202110	 27.95 
USD	202111	 27.82 
USD	202112	 27.76 
USD	202201	 27.68 
USD	202202	 27.88 
USD	202203	 28.44 
USD	202204	 29.15 
USD	202205	 29.60 
USD	202206	 29.63 
USD	202207	 29.87 
USD	202208	 30.09 
USD	202209	 31.24 
USD	202210	 31.97 
USD	202211	 31.46 
JPY	201909	0.28974693
JPY	201910	0.284230485
JPY	201911	0.280163618
JPY	201912	0.277828676
JPY	202001	0.274935944
JPY	202002	0.274538511
JPY	202003	0.281526703
JPY	202004	0.278782544
JPY	202005	0.279215211
JPY	202006	0.276608405
JPY	202007	0.277066542
JPY	202008	0.278394945
JPY	202009	0.277784086
JPY	202010	0.274985744
JPY	202011	0.276204156
JPY	202012	0.274704014
JPY	202101	0.274165863
JPY	202102	0.269051912
JPY	202103	0.261251726
JPY	202104	0.258929717
JPY	202105	0.255897718
JPY	202106	0.252447552
JPY	202107	0.25416175
JPY	202108	0.253805535
JPY	202109	0.251651243
JPY	202110	0.247025546
JPY	202111	0.243974741
JPY	202112	0.244331984
JPY	202201	0.240992599
JPY	202202	0.242001562
JPY	202203	0.239988187
JPY	202204	0.230930122
JPY	202205	0.229647734
JPY	202206	0.221464873
JPY	202207	0.21844646
JPY	202208	0.222485951
JPY	202209	0.218033359
JPY	202210	0.217461397
JPY	202211	0.221049673
EUR	201909	34.2686568
EUR	201910	33.9669743
EUR	201911	33.6823429
EUR	201912	33.7001725
EUR	202001	33.34995
EUR	202002	32.9232855
EUR	202003	33.4157915
EUR	202004	32.6826718
EUR	202005	32.6591214
EUR	202006	33.485876
EUR	202007	33.8880669
EUR	202008	34.9174388
EUR	202009	34.6201328
EUR	202010	34.069785
EUR	202011	34.1455272
EUR	202012	34.731963
EUR	202101	34.6033701
EUR	202102	34.29783
EUR	202103	33.7753115
EUR	202104	33.8490603
EUR	202105	33.9128466
EUR	202106	33.4870459
EUR	202107	33.1027822
EUR	202108	32.8179816
EUR	202109	32.646449
EUR	202110	32.4201546
EUR	202111	31.7514652
EUR	202112	31.3810344
EUR	202201	31.3148892
EUR	202202	31.6226302
EUR	202203	31.3391379
EUR	202204	31.5352212
EUR	202205	31.3106663
EUR	202206	31.3091712
EUR	202207	30.4006014
EUR	202208	30.4741392
EUR	202209	30.9420768
EUR	202210	31.4127394
EUR	202211	32.0692166
TWD	201909	1
TWD	201910	1
TWD	201911	1
TWD	201912	1
TWD	202001	1
TWD	202002	1
TWD	202003	1
TWD	202004	1
TWD	202005	1
TWD	202006	1
TWD	202007	1
TWD	202008	1
TWD	202009	1
TWD	202010	1
TWD	202011	1
TWD	202012	1
TWD	202101	1
TWD	202102	1
TWD	202103	1
TWD	202104	1
TWD	202105	1
TWD	202106	1
TWD	202107	1
TWD	202108	1
TWD	202109	1
TWD	202110	1
TWD	202111	1
TWD	202112	1
TWD	202201	1
TWD	202202	1
TWD	202203	1
TWD	202204	1
TWD	202205	1
TWD	202206	1
TWD	202207	1
TWD	202208	1
TWD	202209	1
TWD	202210	1
TWD	202211	1
