VBELN,VKORG,KUNNR,CTLPC,WAERS,AMTBL
500000000,1003.00 ,100182.00 ,R01,USD,0.00 
500000001,1003.00 ,100179.00 ,R01,USD,0.00 
500000002,1006.00 ,100310.00 ,R01,TWD,0.00 
500000003,1006.00 ,100310.00 ,R01,TWD,0.00 
500000004,1005.00 ,100022.00 ,R01,USD,418297.00 
500000005,1005.00 ,100020.00 ,R01,USD,185967.00 
500000006,1001.00 ,100171.00 ,R01,USD,0.00 
500000007,1005.00 ,100023.00 ,R01,USD,102000.00 
500000008,1002.00 ,100200.00 ,R01,USD,0.00 
500000009,1001.00 ,100119.00 ,R01,USD,0.00 
500000010,1001.00 ,100118.00 ,R01,USD,0.00 
500000011,1002.00 ,100200.00 ,R01,USD,0.00 
500000012,1002.00 ,100201.00 ,R01,USD,0.00 
500000013,1001.00 ,100118.00 ,R01,USD,0.00 
500000014,1003.00 ,100180.00 ,R01,USD,0.00 
500000015,1001.00 ,100137.00 ,R01,TWD,0.00 
500000016,1001.00 ,100118.00 ,R01,USD,0.00 
500000017,1001.00 ,100170.00 ,R01,USD,0.00 
500000018,1001.00 ,100137.00 ,R01,TWD,0.00 
500000019,1001.00 ,100034.00 ,R01,USD,0.00 
500000020,1002.00 ,2902.00 ,R99,USD,0.00 
500000021,1002.00 ,2902.00 ,R99,USD,0.00 
500000022,1005.00 ,100019.00 ,R01,USD,0.00 
500000023,1003.00 ,100188.00 ,R01,TWD,0.00 
500000025,1003.00 ,100178.00 ,R01,USD,0.00 
500000026,1004.00 ,100280.00 ,R01,USD,0.00 
500000027,1005.00 ,100019.00 ,R01,USD,0.00 
500000028,1005.00 ,100018.00 ,R01,TWD,144995.00 
500000029,1005.00 ,100013.00 ,R01,TWD,0.00 
500000030,1005.00 ,100013.00 ,R01,TWD,0.00 
500000031,1005.00 ,100013.00 ,R01,TWD,0.00 
500000032,1005.00 ,100013.00 ,R01,TWD,0.00 
500000033,1005.00 ,100018.00 ,R01,TWD,0.00 
500000035,1005.00 ,100014.00 ,R01,TWD,0.00 
500000036,1005.00 ,100015.00 ,R01,TWD,0.00 
500000037,1005.00 ,100014.00 ,R01,TWD,0.00 
500000038,1005.00 ,100014.00 ,R01,TWD,0.00 
500000039,1005.00 ,100003.00 ,R01,TWD,0.00 
500000040,1005.00 ,100004.00 ,R01,TWD,0.00 
500000041,1001.00 ,100118.00 ,R01,USD,0.00 
500000042,1005.00 ,100015.00 ,R01,TWD,0.00 
500000043,1005.00 ,100014.00 ,R01,TWD,0.00 
500000044,1002.00 ,2902.00 ,R99,USD,0.00 
500000045,1001.00 ,100118.00 ,R01,USD,0.00 
500000046,2002.00 ,100208.00 ,R01,USD,0.00 
500000047,2002.00 ,100208.00 ,R01,USD,0.00 
500000048,1005.00 ,100020.00 ,R01,USD,0.00 
500000049,1007.00 ,100036.00 ,R01,USD,0.00 
500000050,1007.00 ,100036.00 ,R01,USD,0.00 
500000051,1007.00 ,100036.00 ,R01,USD,0.00 
500000052,1005.00 ,100020.00 ,R01,USD,2214221.00 
500000053,1005.00 ,100020.00 ,R01,USD,0.00 
500000054,1002.00 ,2002.00 ,,USD,0.00 
500000055,1004.00 ,100289.00 ,R01,USD,9198.00 
500000056,1003.00 ,100179.00 ,R01,USD,0.00 
500000057,2002.00 ,1002.00 ,,USD,0.00 
500000059,1005.00 ,100018.00 ,R01,TWD,0.00 
500000060,1001.00 ,100133.00 ,R01,TWD,69747.00 
500000061,2002.00 ,1002.00 ,,USD,0.00 
500000062,1002.00 ,2902.00 ,R99,USD,0.00 
500000063,1001.00 ,100133.00 ,R01,TWD,45479.00 
500000064,1005.00 ,100011.00 ,R01,TWD,0.00 
500000066,1005.00 ,100007.00 ,R01,TWD,41834.00 
500000067,1001.00 ,100133.00 ,R01,TWD,31834.00 
500000068,1002.00 ,2902.00 ,R99,USD,0.00 
500000069,2002.00 ,1002.00 ,,USD,0.00 
500000070,1004.00 ,100336.00 ,R01,USD,0.00 
500000071,1005.00 ,100012.00 ,R01,TWD,0.00 
500000072,1004.00 ,100255.00 ,R01,USD,0.00 
500000073,1005.00 ,100012.00 ,R01,TWD,0.00 
500000074,1005.00 ,100012.00 ,R01,TWD,26095.00 
500000075,1005.00 ,100008.00 ,R01,TWD,0.00 
500000076,1004.00 ,100255.00 ,R01,USD,0.00 
500000077,1005.00 ,100008.00 ,R01,TWD,0.00 
500000078,2002.00 ,1002.00 ,,USD,0.00 
500000079,1005.00 ,100007.00 ,R01,TWD,0.00 
500000080,1001.00 ,100124.00 ,R01,TWD,16840.00 
500000081,1005.00 ,100011.00 ,R01,TWD,0.00 
500000082,2002.00 ,1002.00 ,,USD,0.00 
500000083,2002.00 ,1002.00 ,,USD,0.00 
500000084,1001.00 ,100125.00 ,R01,TWD,47063.00 
500000085,1002.00 ,2902.00 ,R99,USD,0.00 
500000086,1001.00 ,100132.00 ,R01,TWD,0.00 
500000087,1004.00 ,100283.00 ,R01,EUR,0.00 
500000088,1003.00 ,100182.00 ,R01,USD,0.00 
500000089,1003.00 ,100178.00 ,R01,USD,6997746.00 
500000090,1003.00 ,100183.00 ,R01,USD,0.00 
500000091,1003.00 ,100176.00 ,R01,USD,0.00 
500000092,1003.00 ,100179.00 ,R01,USD,0.00 
500000093,1003.00 ,100188.00 ,R01,TWD,0.00 
500000094,1004.00 ,100302.00 ,R01,USD,0.00 
500000095,1005.00 ,100012.00 ,R01,TWD,0.00 
500000096,1005.00 ,100014.00 ,R01,TWD,0.00 
500000097,1005.00 ,100018.00 ,R01,TWD,28900.00 
500000098,1005.00 ,100012.00 ,R01,TWD,0.00 
500000099,1001.00 ,100314.00 ,R01,USD,0.00 
500000100,1002.00 ,100200.00 ,R01,USD,0.00 
500000101,1005.00 ,100007.00 ,R01,TWD,0.00 
500000102,1005.00 ,100024.00 ,R01,TWD,0.00 
500000103,1004.00 ,100269.00 ,R01,USD,0.00 
500000104,1002.00 ,100200.00 ,R01,USD,0.00 
500000105,1004.00 ,100279.00 ,R01,USD,0.00 
500000106,1005.00 ,100008.00 ,R01,TWD,0.00 
500000107,1002.00 ,2002.00 ,,USD,0.00 
500000108,1004.00 ,100223.00 ,R01,USD,0.00 
500000109,1001.00 ,100033.00 ,R01,USD,0.00 
500000110,1001.00 ,100118.00 ,R01,USD,0.00 
500000111,1005.00 ,100021.00 ,R01,USD,0.00 
500000112,1001.00 ,100118.00 ,R01,USD,0.00 
500000113,1001.00 ,100118.00 ,R01,USD,0.00 
500000114,1002.00 ,100201.00 ,R01,USD,0.00 
500000115,1002.00 ,100201.00 ,R01,USD,0.00 
500000116,1002.00 ,100201.00 ,R01,USD,0.00 
500000117,2002.00 ,100208.00 ,R01,USD,0.00 
500000118,2002.00 ,100208.00 ,R01,USD,0.00 
500000119,2002.00 ,100208.00 ,R01,USD,0.00 
500000120,2002.00 ,100208.00 ,R01,USD,0.00 
500000121,2002.00 ,100208.00 ,R01,USD,0.00 
500000122,1002.00 ,2002.00 ,,USD,0.00 
500000123,2002.00 ,1002.00 ,,USD,0.00 
500000124,1002.00 ,2002.00 ,,USD,0.00 
500000125,1006.00 ,1002.00 ,,TWD,0.00 
500000126,1007.00 ,1001.00 ,,TWD,0.00 
500000127,1003.00 ,100182.00 ,R01,USD,0.00 
500000128,1003.00 ,100182.00 ,R01,USD,0.00 
500000129,1003.00 ,100178.00 ,R01,USD,0.00 
500000130,1003.00 ,100179.00 ,R01,USD,0.00 
500000131,1003.00 ,100176.00 ,R01,USD,0.00 
500000132,1003.00 ,100182.00 ,R01,USD,0.00 
500000133,1006.00 ,100310.00 ,R01,TWD,0.00 
500000134,1005.00 ,100015.00 ,R01,TWD,0.00 
500000135,1005.00 ,100014.00 ,R01,TWD,0.00 
500000136,1002.00 ,1006.00 ,,TWD,0.00 
500000137,1005.00 ,100018.00 ,R01,TWD,134377.00 
500000138,1004.00 ,100283.00 ,R01,EUR,0.00 
500000139,2002.00 ,1002.00 ,,USD,0.00 
500000140,1003.00 ,100179.00 ,R01,USD,0.00 
500000141,1003.00 ,100178.00 ,R01,USD,0.00 
500000142,2002.00 ,1002.00 ,,USD,0.00 
500000143,1002.00 ,2902.00 ,R99,USD,0.00 
500000144,2002.00 ,100207.00 ,R01,USD,0.00 
500000145,1001.00 ,100034.00 ,R01,USD,0.00 
500000146,1002.00 ,2902.00 ,R99,USD,0.00 
500000147,2002.00 ,100207.00 ,R01,USD,0.00 
500000148,1002.00 ,2902.00 ,R99,USD,0.00 
500000149,2002.00 ,100207.00 ,R01,USD,0.00 
500000150,1002.00 ,2902.00 ,R99,USD,0.00 
500000151,2002.00 ,100207.00 ,R01,USD,0.00 
500000152,1002.00 ,1006.00 ,,TWD,0.00 
500000153,1002.00 ,100203.00 ,R01,USD,2385846.00 
500000154,1002.00 ,2902.00 ,R99,USD,0.00 
500000155,2002.00 ,100207.00 ,R01,USD,0.00 
500000156,1007.00 ,100036.00 ,R01,USD,523057.00 
500000157,1004.00 ,100255.00 ,R01,USD,0.00 
500000158,1007.00 ,100036.00 ,R01,USD,168088.00 
500000159,1007.00 ,100036.00 ,R01,USD,0.00 
500000160,1001.00 ,100118.00 ,R01,USD,0.00 
500000161,1003.00 ,100188.00 ,R01,TWD,0.00 
500000162,1001.00 ,100118.00 ,R01,USD,0.00 
500000163,1001.00 ,100118.00 ,R01,USD,0.00 
500000164,1002.00 ,100198.00 ,R01,USD,0.00 
500000165,1002.00 ,100198.00 ,R01,USD,0.00 
500000166,1001.00 ,100118.00 ,R01,USD,0.00 
500000167,1004.00 ,100336.00 ,R01,USD,0.00 
500000168,1002.00 ,2902.00 ,R99,USD,0.00 
500000169,2002.00 ,100208.00 ,R01,USD,0.00 
500000170,2002.00 ,1002.00 ,,USD,0.00 
500000171,2002.00 ,1002.00 ,,USD,0.00 
500000172,1005.00 ,100012.00 ,R01,TWD,0.00 
500000173,1005.00 ,100011.00 ,R01,TWD,0.00 
500000174,1004.00 ,100315.00 ,R01,USD,0.00 
500000175,2002.00 ,1002.00 ,,USD,0.00 
500000176,1001.00 ,100118.00 ,R01,USD,0.00 
500000177,1001.00 ,100133.00 ,R01,TWD,10188.00 
500000178,1005.00 ,100020.00 ,R01,USD,234016.00 
500000179,1004.00 ,100273.00 ,R01,USD,351753.00 
500000180,1001.00 ,100172.00 ,R01,USD,0.00 
500000181,2002.00 ,100207.00 ,R01,USD,0.00 
500000182,1005.00 ,100019.00 ,R01,USD,0.00 
500000183,1001.00 ,100167.00 ,R01,USD,0.00 
500000184,2002.00 ,100213.00 ,R01,USD,0.00 
500000185,1002.00 ,2902.00 ,R99,USD,0.00 
500000186,2002.00 ,100207.00 ,R01,USD,0.00 
500000187,1001.00 ,100314.00 ,R01,USD,0.00 
500000188,1001.00 ,100352.00 ,R01,USD,0.00 
