ERDAT,RGITV,EXPRT
201909,-1.4,-3.3
201910,-2.5,-1.3
201911,3,1.9
201912,7,2.5
202001,-14.8,-10.1
202002,29.9,21.6
202003,-2.6,-3
202004,-2.9,-3.4
202005,-6.1,-5.3
202006,-11.2,-8.8
202007,-7.8,-4.6
202008,2,1.9
202009,-3.4,3.1
202010,-0.7,4.6
202011,5.2,5.9
202012,0.2,5.1
202101,26.8,29.7
202102,2,3.6
202103,19.1,19.1
202104,25.4,30.7
202105,30.8,29.7
202106,28.7,25.6
202107,29.7,27.1
202108,28,19.9
202109,26.5,21.7
202110,25,19.5
202111,27.1,25.6
202112,21.9,19.8
202201,16.7,13.4
202202,32.4,32.2
202203,20.4,21.3
202204,23.7,20.1
202205,25.5,18.6
202206,24.7,22.7
202207,24.3,21.8
202208,10.3,9.5
202209,6,4.6
202210,17.8,13.2
202211,1.8,-0.5
