,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
1130,1130,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,201910,PC,924.0,-2.5,-1.3
1310,1310,2340080001,YDL1,1006.0,1.0,211,1002.00 ,201910,PC,5736.0,-2.5,-1.3
1311,1311,2340080002,YDL1,1006.0,1.0,211,1002.00 ,201910,PC,3406.0,-2.5,-1.3
2425,2425,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,201911,PC,739.0,3.0,1.9
2613,2613,2340080001,YDL1,1006.0,1.0,211,1002.00 ,201911,PC,517.0,3.0,1.9
3780,3780,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,201912,PC,757.0,7.0,2.5
4003,4003,2340080001,YDL1,1006.0,1.0,211,1002.00 ,201912,PC,4863.0,7.0,2.5
4004,4004,2340080002,YDL1,1006.0,1.0,211,1002.00 ,201912,PC,1803.0,7.0,2.5
5387,5387,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,202001,PC,308.0,-14.8,-10.1
5570,5570,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202001,PC,1666.0,-14.8,-10.1
5571,5571,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202001,PC,1508.0,-14.8,-10.1
5572,5572,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202001,PC,2822.0,-14.8,-10.1
6767,6767,0641-PN211469,YZS0,1006.0,1.0,6R020,100321.00 ,202002,PC,300000.0,29.9,21.6
6768,6768,0641-PN211469,ZZS0,1006.0,1.0,6R020,100321.00 ,202002,PC,20000.0,29.9,21.6
6769,6769,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,202002,PC,639.0,29.9,21.6
6977,6977,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202002,PC,6180.0,29.9,21.6
6978,6978,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202002,PC,2932.0,29.9,21.6
8243,8243,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202003,PC,120.0,-2.6,-3.0
8244,8244,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,202003,PC,315.0,-2.6,-3.0
8533,8533,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202003,PC,14125.0,-2.6,-3.0
8534,8534,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202003,PC,368.0,-2.6,-3.0
9958,9958,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202004,PC,120.0,-2.9,-3.4
10129,10129,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202004,PC,7765.0,-2.9,-3.4
10130,10130,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202004,PC,3960.0,-2.9,-3.4
10131,10131,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202004,PC,4608.0,-2.9,-3.4
11631,11631,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202005,PC,60.0,-6.1,-5.3
11819,11819,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202005,PC,446.0,-6.1,-5.3
11820,11820,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202005,PC,16125.0,-6.1,-5.3
13003,13003,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202006,PC,84.0,-11.2,-8.8
13218,13218,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202006,PC,4574.0,-11.2,-8.8
13219,13219,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202006,PC,15453.0,-11.2,-8.8
13220,13220,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202006,PC,6081.0,-11.2,-8.8
13755,13755,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202007,PC,1100.0,-7.8,-4.6
14673,14673,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202007,PC,80.0,-7.8,-4.6
14938,14938,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202007,PC,5943.0,-7.8,-4.6
14939,14939,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202007,PC,21872.0,-7.8,-4.6
14940,14940,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202007,PC,2578.0,-7.8,-4.6
16426,16426,0649-2471M64P05,YZX0,1006.0,1.0,6R010,100310.00 ,202008,PC,1.0,2.0,1.9
16427,16427,0649-2471M64P06,YZX0,1006.0,1.0,6R010,100310.00 ,202008,PC,1.0,2.0,1.9
16428,16428,0649-2547M08P05,YZX0,1006.0,1.0,6R010,100310.00 ,202008,PC,1.0,2.0,1.9
16429,16429,0649-2547M08P06,YZX0,1006.0,1.0,6R010,100310.00 ,202008,PC,1.0,2.0,1.9
16430,16430,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202008,PC,99.0,2.0,1.9
16690,16690,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202008,PC,32368.0,2.0,1.9
18546,18546,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202009,PC,34862.0,-3.4,3.1
19090,19090,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202010,PC,1058.0,-0.7,4.6
20105,20105,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202010,PC,4413.0,-0.7,4.6
20106,20106,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202010,PC,13304.0,-0.7,4.6
21827,21827,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202011,PC,3141.0,5.2,5.9
21828,21828,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202011,PC,16771.0,5.2,5.9
23374,23374,0641-PN211469,YZS0,1006.0,1.0,6R020,100321.00 ,202012,PC,300000.0,0.2,5.1
23375,23375,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202012,PC,80.0,0.2,5.1
23604,23604,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202012,PC,3855.0,0.2,5.1
23605,23605,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202012,PC,4263.0,0.2,5.1
23606,23606,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202012,PC,11899.0,0.2,5.1
24933,24933,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202101,PC,144.0,26.8,29.7
24934,24934,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202101,PC,20.0,26.8,29.7
25098,25098,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202101,PC,7604.0,26.8,29.7
25099,25099,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202101,PC,1809.0,26.8,29.7
25100,25100,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202101,PC,5058.0,26.8,29.7
26701,26701,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202102,PC,60.0,2.0,3.6
26853,26853,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202102,PC,6320.0,2.0,3.6
26854,26854,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202102,PC,3224.0,2.0,3.6
26855,26855,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202102,PC,9456.0,2.0,3.6
28422,28422,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202103,PC,84.0,19.1,19.1
28423,28423,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202103,PC,40.0,19.1,19.1
28661,28661,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202103,PC,10737.0,19.1,19.1
28662,28662,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202103,PC,15816.0,19.1,19.1
30288,30288,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202104,PC,174.0,25.4,30.7
30496,30496,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202104,PC,160.0,25.4,30.7
30497,30497,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202104,PC,3731.0,25.4,30.7
30498,30498,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202104,PC,16090.0,25.4,30.7
31901,31901,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202105,PC,204.0,30.8,29.7
31902,31902,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202105,PC,20.0,30.8,29.7
32096,32096,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202105,PC,3660.0,30.8,29.7
32097,32097,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202105,PC,25023.0,30.8,29.7
33504,33504,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202106,PC,210.0,28.7,25.6
33505,33505,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202106,PC,140.0,28.7,25.6
33666,33666,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202106,PC,12081.0,28.7,25.6
33667,33667,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202106,PC,1648.0,28.7,25.6
33668,33668,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202106,PC,16899.0,28.7,25.6
35499,35499,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202107,PC,606.0,29.7,27.1
35500,35500,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202107,PC,40.0,29.7,27.1
35649,35649,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202107,PC,3315.0,29.7,27.1
35650,35650,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202107,PC,23047.0,29.7,27.1
36148,36148,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202108,PC,2100.0,28.0,19.9
37378,37378,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202108,PC,575.0,28.0,19.9
37574,37574,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202108,PC,2367.0,28.0,19.9
37575,37575,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202108,PC,50070.0,28.0,19.9
38984,38984,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202109,PC,365.0,26.5,21.7
38985,38985,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202109,PC,60.0,26.5,21.7
39149,39149,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202109,PC,6215.0,26.5,21.7
39150,39150,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202109,PC,5241.0,26.5,21.7
39151,39151,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202109,PC,40121.0,26.5,21.7
40564,40564,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202110,PC,281.0,25.0,19.5
40565,40565,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202110,PC,120.0,25.0,19.5
40778,40778,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202110,PC,11436.0,25.0,19.5
40779,40779,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202110,PC,43496.0,25.0,19.5
41314,41314,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202111,PC,1939.0,27.1,25.6
42510,42510,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202111,PC,190.0,27.1,25.6
42511,42511,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202111,PC,20.0,27.1,25.6
42814,42814,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202111,PC,4936.0,27.1,25.6
42815,42815,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202111,PC,55213.0,27.1,25.6
43313,43313,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202112,PC,200.0,21.9,19.8
