,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,0.0731806422712491,-0.028508999222710232,0.00017212503528050199,-0.057021820587931336,0.05949435325206516,0.08603298734401477,0.9590992078514915,0.06465068276602674,-0.0010032292696143654,0.532355916646879,0.4905363489465166
MATNR,0.0731806422712491,1.0,-0.030740735456922366,-0.1019394558998661,-0.11285084499907864,0.34421951091246406,-0.009201078065388665,0.047659045187617495,0.5171550147257663,0.048161532434065096,0.020532695392208845,0.019309289323420412
TYPE,-0.028508999222710232,-0.030740735456922366,1.0,-0.3613365356660374,0.18414614667517948,-0.4500595163932341,-0.16736497439747247,-0.026724039775835873,-0.5163072262683104,0.0916709420176952,-0.0003622916337783229,0.0016410083241566121
VKORG,0.00017212503528050199,-0.1019394558998661,-0.3613365356660374,1.0,0.31620701899688,-0.23183164850567103,0.137106746900017,8.524094505375613e-05,0.07758428222138473,-0.0009400764962520813,-0.007273871006771861,-0.010123322299717864
UKURS,-0.057021820587931336,-0.11285084499907864,0.18414614667517948,0.31620701899688,1.0,-0.5829131179874082,0.1342525949809253,-0.06024583643386155,-0.23214385146938377,0.05237929282291778,-0.04586048526447579,-0.04579088439239645
MATKL,0.05949435325206516,0.34421951091246406,-0.4500595163932341,-0.23183164850567103,-0.5829131179874082,1.0,-0.11618467230514068,0.050629128287063924,0.6296592163008438,-0.08009731375900934,0.01606497247303455,0.016388907891256972
KUNNR,0.08603298734401477,-0.009201078065388665,-0.16736497439747247,0.137106746900017,0.1342525949809253,-0.11618467230514068,1.0,0.09153287901794892,0.05791180877013637,0.01042177577673935,0.02652123467899478,0.02499224654071587
ERDAT,0.9590992078514915,0.047659045187617495,-0.026724039775835873,8.524094505375613e-05,-0.06024583643386155,0.050629128287063924,0.09153287901794892,1.0,0.0518901781721689,-0.0023663470181360096,0.5695288121792819,0.5421439733061103
UNIT,0.06465068276602674,0.5171550147257663,-0.5163072262683104,0.07758428222138473,-0.23214385146938377,0.6296592163008438,0.05791180877013637,0.0518901781721689,1.0,0.003183179124947678,0.017680830943989517,0.018911680008869634
MENGE,-0.0010032292696143654,0.048161532434065096,0.0916709420176952,-0.0009400764962520813,0.05237929282291778,-0.08009731375900934,0.01042177577673935,-0.0023663470181360096,0.003183179124947678,1.0,0.0014268100678003445,0.0016108560402368303
YOY,0.532355916646879,0.020532695392208845,-0.0003622916337783229,-0.007273871006771861,-0.04586048526447579,0.01606497247303455,0.02652123467899478,0.5695288121792819,0.017680830943989517,0.0014268100678003445,1.0,0.970167089978119
EAGRT,0.4905363489465166,0.019309289323420412,0.0016410083241566121,-0.010123322299717864,-0.04579088439239645,0.016388907891256972,0.02499224654071587,0.5421439733061103,0.018911680008869634,0.0016108560402368303,0.970167089978119,1.0
